Datei,Cluster
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035757_7c75.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_3273.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035755_e6f9.json,1
quantum_log_Cortex Criticus_act_nq4_20250418035746_5534.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035802_46ef.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035807_a900.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035757_9b3e.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1
quantum_log_Cortex Criticus_act_nq4_20250418035753_043d.json,1
quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035745_ee54.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035817_70f9.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_a5ca.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_e17a.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035824_2c5d.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_3a6a.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_fd14.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035759_ea5a.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035813_a8bb.json,1
quantum_log_Ethik und Moral_act_nq4_20250418035825_1151.json,1
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,1
quantum_log_Ethik und Moral_act_nq4_20250418035827_0612.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_1dcd.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_3a6e.json,1
quantum_log_Ethik und Moral_act_nq4_20250418035832_00b2.json,1
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035827_91b6.json,1
quantum_log_Synergien und Integration_act_nq4_20250418035813_0221.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035829_b66e.json,1
quantum_log_Simulatrix Neuralis_act_nq4_20250418035822_7208.json,1
quantum_log_Cortex Socialis_act_nq4_20250418035820_4a4b.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035801_515a.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035806_78d0.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035814_3368.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035758_9f01.json,2
quantum_log_Cortex Creativus_act_nq4_20250418035812_809a.json,2
quantum_log_Cortex Creativus_act_nq4_20250418035807_77db.json,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035807_af16.json,2
quantum_log_Cortex Creativus_act_nq4_20250418035806_1c27.json,2
quantum_log_Cortex Creativus_act_nq4_20250418035800_763d.json,2
