Datei,Shot,Von,Nach,Delta
quantum_log_Limbus Affektus_act_nq4_20250418035752_5479.json,6,0,2,2
quantum_log_Limbus Affektus_act_nq4_20250418035752_5479.json,10,1,4,3
quantum_log_Limbus Affektus_act_nq4_20250418035752_5479.json,11,4,1,3
quantum_log_Limbus Affektus_act_nq4_20250418035752_5479.json,13,1,3,2
quantum_log_Limbus Affektus_act_nq4_20250418035752_5479.json,14,3,0,3
quantum_log_Meta Cognitio_act_nq4_20250418035752_a892.json,4,1,3,2
quantum_log_Meta Cognitio_act_nq4_20250418035752_a892.json,5,3,1,2
quantum_log_Meta Cognitio_act_nq4_20250418035752_a892.json,6,1,4,3
quantum_log_Meta Cognitio_act_nq4_20250418035752_a892.json,7,4,2,2
quantum_log_Cortex Socialis_act_nq4_20250418035752_4dc9.json,1,4,1,3
quantum_log_Cortex Socialis_act_nq4_20250418035752_4dc9.json,2,1,3,2
quantum_log_Cortex Socialis_act_nq4_20250418035752_4dc9.json,14,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_b5d8.json,8,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_b5d8.json,9,3,1,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_b5d8.json,13,1,3,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035752_b5d8.json,14,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_cca7.json,1,4,2,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_cca7.json,3,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_cca7.json,4,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_cca7.json,8,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_cca7.json,9,3,1,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_cca7.json,11,1,3,2
quantum_log_Ethik und Moral_act_nq4_20250418035752_cca7.json,13,2,0,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035752_7c16.json,12,1,3,2
quantum_log_Governance und Politik_act_nq4_20250418035752_65da.json,2,4,2,2
quantum_log_Governance und Politik_act_nq4_20250418035752_65da.json,6,3,1,2
quantum_log_Governance und Politik_act_nq4_20250418035752_65da.json,7,1,3,2
