Timestamp,Datei,Shot,Von,Nach,Delta
2025-04-18T01:57:44.700593Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035744_18c8.json,2,4,2,2
2025-04-18T01:57:44.711161Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035744_18c8.json,9,1,3,2
2025-04-18T01:57:44.713162Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035744_18c8.json,10,3,1,2
2025-04-18T01:57:44.717705Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035744_18c8.json,12,1,3,2
2025-04-18T01:57:44.719707Z,quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035744_18c8.json,13,3,1,2
2025-04-18T01:57:45.622182Z,quantum_log_Ethik und Moral_act_nq4_20250418035745_db7f.json,3,3,1,2
2025-04-18T01:57:45.629279Z,quantum_log_Ethik und Moral_act_nq4_20250418035745_db7f.json,5,1,3,2
2025-04-18T01:57:45.632282Z,quantum_log_Ethik und Moral_act_nq4_20250418035745_db7f.json,6,3,1,2
2025-04-18T01:57:45.638053Z,quantum_log_Ethik und Moral_act_nq4_20250418035745_db7f.json,8,2,4,2
2025-04-18T01:57:45.641063Z,quantum_log_Ethik und Moral_act_nq4_20250418035745_db7f.json,9,4,1,3
2025-04-18T01:57:45.681634Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035745_d0d9.json,7,1,3,2
2025-04-18T01:57:45.684804Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035745_d0d9.json,9,3,1,2
2025-04-18T01:57:45.687330Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035745_d0d9.json,10,1,3,2
2025-04-18T01:57:45.690366Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035745_d0d9.json,12,3,1,2
2025-04-18T01:57:45.693369Z,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035745_d0d9.json,13,1,4,3
2025-04-18T01:57:45.707725Z,quantum_log_Governance und Politik_act_nq4_20250418035745_5108.json,1,2,0,2
2025-04-18T01:57:45.711740Z,quantum_log_Governance und Politik_act_nq4_20250418035745_5108.json,4,2,0,2
2025-04-18T01:57:45.712740Z,quantum_log_Governance und Politik_act_nq4_20250418035745_5108.json,5,0,3,3
2025-04-18T01:57:45.714853Z,quantum_log_Governance und Politik_act_nq4_20250418035745_5108.json,6,3,0,3
2025-04-18T01:57:45.716374Z,quantum_log_Governance und Politik_act_nq4_20250418035745_5108.json,7,0,3,3
2025-04-18T01:57:45.740071Z,quantum_log_Synergien und Integration_act_nq4_20250418035745_b4ce.json,1,0,2,2
2025-04-18T01:57:45.741067Z,quantum_log_Synergien und Integration_act_nq4_20250418035745_b4ce.json,2,2,0,2
2025-04-18T01:57:45.788343Z,quantum_log_Technologie und Innovation_act_nq4_20250418035745_1d60.json,13,1,3,2
2025-04-18T01:57:45.790343Z,quantum_log_Technologie und Innovation_act_nq4_20250418035745_1d60.json,14,3,1,2
2025-04-18T01:57:45.805550Z,quantum_log_Wirtschaft und Gesellschaft_act_nq4_20250418035745_ac5e.json,3,1,4,3
