Datei 1,Datei 2,Distanz
quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,0.0000
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,1.0000
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1.0000
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,1.0000
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.0000
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.0000
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,1.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035757_7c75.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,1.4142
quantum_log_Ethik und Moral_act_nq4_20250418035802_99d8.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035751_9a38.json,1.4142
quantum_log_Ethik und Moral_act_nq4_20250418035827_0612.json,quantum_log_Ethik und Moral_act_nq4_20250418035832_00b2.json,1.4142
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_e17a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,1.4142
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035819_5299.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035825_d697.json,1.4142
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035824_2c5d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035757_9b3e.json,1.4142
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1.4142
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.4142
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_3a6e.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.4142
quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.4142
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035757_7c75.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035814_0599.json,quantum_log_Synergien und Integration_act_nq4_20250418035823_2ef6.json,1.7321
quantum_log_Cortex Creativus_act_nq4_20250418035757_7e2a.json,quantum_log_Ethik und Moral_act_nq4_20250418035746_bc6f.json,1.7321
quantum_log_Cortex Creativus_act_nq4_20250418035811_834e.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035824_c723.json,1.7321
quantum_log_Cortex Criticus_act_nq4_20250418035746_48f2.json,quantum_log_Ethik und Moral_act_nq4_20250418035759_2251.json,1.7321
quantum_log_Cortex Criticus_act_nq4_20250418035746_5534.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Cortex Criticus_act_nq4_20250418035751_baed.json,quantum_log_Meta Cognitio_act_nq4_20250418035758_25d0.json,1.7321
quantum_log_Cortex Criticus_act_nq4_20250418035753_043d.json,quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,1.7321
quantum_log_Cortex Socialis_act_nq4_20250418035802_9a26.json,quantum_log_Meta Cognitio_act_nq4_20250418035817_e205.json,1.7321
quantum_log_Cortex Socialis_act_nq4_20250418035812_bf75.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035831_79ab.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035749_3aa4.json,quantum_log_Limbus Affektus_act_nq4_20250418035800_5135.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035802_99d8.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035820_424d.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035822_63ba.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035821_e425.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035825_0741.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035823_8645.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035825_1151.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_e17a.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035759_ea5a.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035832_00b2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035756_c1b3.json,quantum_log_Meta Cognitio_act_nq4_20250418035751_da05.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035803_a104.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035806_c729.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035804_c245.json,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035817_12e4.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.7321
